,,,,,,,,
,office,last_name,first_name,party,gender,website,,
,Governor,Snyder,Rick ,R,M,http://www.michigan.gov/snyder,,
,Lieutenant Governor,Calley,Brian N.,R,M,"http://www.michigan.gov/snyder/0,4668,7-277-61287-248763--,00.html",,
,Secretary of State,Johnson,Ruth,R,F,http://www.rj4mi.com/,,
,Attorney General,Schuette,Bill,R,M,http://www.none.com/,,
,State Senator - District 9,Young ,Coleman,D,M,http://young.senatedems.com/,,
,State Senator - District 10,Johnson,Bert,D,M,http://johnson.senatedems.com/,,
,Senator - 1,Levy,Carl,D,M,http://www.carllevin.com/,,
,Senator - 2,Stabenow,Debbie,D,F,http://www.stabenowforsenate.com/,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
